address,type
0xe66B31678d6C16E9ebf358268a790B763C133750,eoa
0xDef1C0ded9bec7F1a1670819833240f027b25EfF,eoa
0x111111125434b319222CdBf8C261674aDB56F3ae,eoa
0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,eoa
0x84D99Aa569D93a9CA187D83734c8C4a519c4e9b1,eoa
0xd47140F6Ab73f6d6B6675Fb1610Bb5E9B5d96FE5,eoa
0xe069CB01D06bA617bCDf789bf2ff0D5E5ca20C71,eoa
0xA88800CD213dA5Ae406ce248380802BD53b47647,eoa
0xE8FfF15bB5E14095bFdfA8Bb85D83cC900c23C56,eoa
0x1111111254fb6c44bAC0beD2854e76F90643097d,eoa
0x1111111254EEB25477B68fb85Ed929f73A960582,eoa
0x4572f2554421Bd64Bef1c22c8a81840E8D496BeA,eoa
0xc549A5c701cb6E6cbc091007A80c089C49595468,eoa
0xA58f22e0766B3764376c92915BA545d583c19DBc,eoa
0xfcadF926669E7caD0e50287eA7D563020289Ed2C,eoa
0xdc1882F350b42ac9a23508996254b1915c78b204,eoa
0xFf6b1cdfD2d3e37977d7938AA06b6d89D6675e27,eoa
0x0e8BA001a821F3CE0734763D008C9d7c957F5852,eoa
0xC898fBeE1cc94c0fF077FaA5449915A506EfF384,eoa
0x29FBD00940df70cfC5DAD3f2370686991e2BBf5C,eoa
0x3c020e014069df790d4f4e63fd297BA4e1c8e51F,eoa
0x39fbD1140Cd1Fc298F00c3Ea64B3591DE94C67E7,eoa
0xB5Adb233F28c86CEf693451b67E1F2d41da97d21,eoa
0xA4dc97a565e2364cDeB4EFe38C0F153bcCB62b01,eoa
0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,eoa
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,eoa
0xD057B63f5E69CF1B929b356b579Cba08D7688048,eoa
0xA2B47E3D5c44877cca798226B7B8118F9BFb7A56,eoa
0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7,eoa
0x52EA46506B9CC5Ef470C5bf89f17Dc28bB35D85C,eoa
0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51,eoa
0x49497a4D914ae91D34Ce80030fE620687Bf333FD,eoa
0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,eoa
0x000000000000541E251335090AC5B47176AF4f7E,eoa
0x7600977Eb9eFFA627D6BD0DA2E5be35E11566341,eoa
0x268be5667d4e5bD036Bd608d0601ef1441604429,eoa
0x50f9bDe1c76bba997a5d6e7FEFff695ec8536194,eoa
0x6F400810b62df8E13fded51bE75fF5393eaa841F,eoa
0x58a5959A6c528c5d5e03f7B9E5102350e24005F1,eoa
0x4aEa7cf559F67ceDCAD07E12aE6bc00F07E8cf65,eoa
0x8d12A197cB00D4747a1fe03395095ce2A5CC6819,eoa
0xa5CC679A3528956E8032df4F03756C077C1eE3F4,eoa
0x2a0c0DBEcC7E4D658f48E01e3fA353F44050c208,eoa
